tag_id,tag_name,description
1,환경/지속가능성,기후·에너지 절약·ESG 등 환경 문제 해결에 관심
2,대중문화/엔터,영화, 음악, 유튜브, 콘텐츠 소비와 창작 등 대중문화 전반
3,뷰티/패션,뷰티산업, 소비재, 패션 브랜드, 젠더리스 스타일 등
4,사회문제 해결,사회적 약자, 소외 계층, 교육격차, 소수자 인권 등 사회 문제 해결에 관심
5,커뮤니티/소셜네트워킹,연결, 소통, 관계 맺기, 오프라인 커뮤니티 운영 등 포함
6,금융/자산관리,투자, 소비, 파이낸스 서비스 등 포함
7,커리어/교육,진로, 자기계발, 대학 관련 니즈 포함
8,디자인/미적경험,공간, 시각, 제품 등 디자인적 관점 포함
9,여행/로컬문화,여행, 글로벌 경험, 지역적 문화 체험 포함
10,동물/자연,반려동물, 생물 다양성, 자연 보호 등 포함
11,건강/웰니스,정신건강, 운동, 루틴, 수면, 자존감 등 포함
12,AI/생성기술,생성형 AI, 자동화, 기술 미래 포함
13,정치/사회참여,공공정책, 캠페인, 사회운동 등 참여적 맥락 포함
14,소비 트렌드,MZ, 소비문화, 브랜드 경험 중심
15,창작/창의활동,글쓰기, 그리기, 제작 등 창작적 욕구 포함