field_id,job_id,job_name,job_description,related_majors,entry_path,keyword_tags,recommend_reason,stem_category,related_tags
F01,101,환경 데이터 분석가,환경 관련 센서·데이터 기반 기후 패턴 분석,"환경공학, 통계학","공대 졸업 후 환경 연구소 또는 ESG 관련 인턴십","#환경 #데이터 #기후",환경 변화에 관심 많은 사용자에게 적합,"Science + Tech","1,4"
F02,102,AI 서비스 기획자,AI 기술을 활용한 사용자 서비스 설계,"산업공학, 컴퓨터공학","컴공/산업공학 기반 AI 스타트업 인턴 , 기획 포지션 경험","#AI #기획 #트렌드",최신 AI 트렌드를 서비스에 녹이고 싶은 사용자,"Tech + Math","2,6"
F03,103,UX 리서처,사용자 경험 중심 리서치 및 분석,"심리학, 인지과학, 디자인학","UX 리서치 인턴십 또는 디자인 관련 프로젝트 참여","#UX #사용자 #분석",사람 중심 설계에 관심 있는 사용자에게 적합,"Engineering + Tech","5,3"
F01,104,지속가능 소재 연구원,"생분해성 플라스틱, 대체 섬유 등 지속 가능한 소재 연구","화학공학, 재료공학, 섬유공학","환경 기업 인턴 경험, 소재 스타트업 프로젝트 참여, 친환경 브랜드 리서치팀 경험","#지속가능 #소재 #친환경",친환경 소재의 기술적 대안에 관심 있는 사용자에게 적합,"Science","1,3"
F02,105,커뮤니티 플랫폼 개발자,온라인 커뮤니티 인프라와 시스템 개발,"컴퓨터공학, 정보시스템","개발 공부 후 커뮤니티 플랫폼 스타트업 또는 오픈소스 커뮤니티 참여","#커뮤니티 #개발 #네트워킹",사람 간 관계와 연결에 기술을 활용하고 싶은 사용자,"Tech + Engineering","5,2"
F01,106,ESG 리포터,기업 ESG 데이터 분석 및 보고서 작성,"경영학, 통계학, 환경공학","ESG 컨설팅 인턴 또는 지속가능성 관련 공공기관/기업 데이터팀","#ESG #환경 #데이터",ESG 지표에 기반한 지속가능한 사회를 만들고 싶은 사용자,"Math + Science","1,4"
F03,107,디지털 헬스케어 기획자,헬스케어 앱 기획 및 UX 설계,"보건학, UX디자인, 디지털헬스케어학","디지털 헬스케어 스타트업 인턴, 관련 해커톤 또는 공모전 참가","#건강 #앱기획 #웰니스",건강과 자기관리 주제에 기술을 더하고 싶은 사용자,"Science + Tech","11,7"
F03,108,패션 AI 분석가,패션 트렌드 예측 AI 모델 개발,"패션학, 데이터사이언스, 컴퓨터공학","AI 프로젝트 경험 후 패션 리서치 스타트업 or 브랜드 분석팀 참여","#패션 #AI #트렌드",패션과 기술의 융합에 관심 있는 사용자에게 적합,"Math + Tech","3,12"
F01,109,환경 시뮬레이션 모델러,환경 변화 시뮬레이션·수학적 모델링,"환경과학, 수학, 기후과학","시뮬레이션 소프트웨어 툴 학습 후 공공기관 또는 연구소 인턴십 경험","#시뮬레이션 #기후 #수학",수학적 사고로 환경 문제를 풀고 싶은 사용자에게 적합,"Math + Science","1,9"
F02,110,스마트홈 IoT 개발자,가정용 IoT 기기 설계 및 개발,"전자공학, 컴퓨터공학, 정보통신학","임베디드 시스템 교육과정 수료 후 스마트홈 솔루션 스타트업 경험","#스마트홈 #IoT #개발",일상생활 속 기술 혁신에 관심 있는 사용자에게 적합,"Engineering + Tech","8,12"